"<seg id=""15"">","To create any semblance of a tone, the organization at the beginning of the season lowered its championship banners to display behind one of the baskets.",lexical ambiguity,tone= sound vs ambience/atmosphere,,
"<seg id=""16"">","Various advertisements have been strategically placed for the television cameras, and a video board of fans mimicked the concept used in last season’s Orlando bubble.",X,X,,
"<seg id=""17"">","Other than a sparse crowd of select friends and family, Chase Center’s bowl has been covered by a blue tarp with a Warriors logo.","lexical ambiguity
lexical ambiguity","warriors = fighters vs team (Named Entity)
bowl = food bowl vs seats",,
"<seg id=""18"">","“We are going to enjoy the atmosphere,” guard Stephen Curry said.",lexical ambiguity,guard= police officer vs basketball position,,guarda vs armador
"<seg id=""19"">","“I think I’ve talked about it before, it’s definitely noticeable if you have even just a thousand fans in the seats.",X,X,,
"<seg id=""20"">",It makes a huge difference in the atmosphere and whatnot.,X,X,,
"<seg id=""21"">","“We’ve had a whole season now where we haven’t had any fans, so you’re kind of sick of looking at the blue tarp and want to see some bodies in there.”",ellipsis,any fans= present,,
"<seg id=""22"">","The last time Chase Center hosted fans was on March 10, 2020, a Warriors 131-107 loss to the Los Angeles Clippers.",lexical ambiguity,warriors = fighters vs team (Named Entity),,
"<seg id=""23"">","A night later, the NBA season was postponed when Utah Jazz center Rudy Gobert tested positive for the virus.",lexical ambiguity,center = center of a place (Utah Jazz) vs basketball position of utah Jazz,,centro vs pivô
"<seg id=""24"">","In its second season since its grand opening, Chase Center hasn’t been the home of much celebration.",X,X,,
"<seg id=""25"">",Curry suffered a broken left hand in just the second home game of the regular season last year and Golden State stumbled to a 15-50 record before not being invited to the bubble.,lexical ambiguity,just = only vs already,,apenas vs já
"<seg id=""26"">",Now the Warriors (29-30) are on the cusp of their first playoff berth since 2019.,lexical ambiguity,warriors = fighters vs team (Named Entity),,
"<seg id=""27"">",With 13 games remaining — including a six-game homestand to conclude the regular season — each one matters when it comes to playoff seeding.,lexical ambiguity,homestand = country/homeland vs games at home,,pátria vs jogos em casa
"<seg id=""28"">","“Fans bring an extra set of passion and emotion to the game,” guard Kelly Oubre Jr. said.",lexical ambiguity,guard= police officer vs basketball position,,guarda vs armador
"<seg id=""29"">","“So I’m super excited to get back out there and perform in front of them, also hear their chants, their cheers.","lexical ambiguity 
lexical ambiguity","chants = religious chants vs sport chants 
perform= act vs play",,cânticos vs cantos/cantando/gritando
"<seg id=""30"">",It’s going to be super exciting.”,X,X,,
</doc>,,,,,
,,,,,
<doc,https://www.zdnet.com/article/arm-processors-everything-you-need-to-know-now/ 2021>,,,,
"<seg id=""1"">",Arm processors: Everything you need to know now,lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""2"">","The ninth generation of the Arm processor architecture, its engineers say, could sustain distributed computing for the rest of this decade.",x,X,,
"<seg id=""3"">",Could the rise of Arm signal the end of central processing units as we know them?,lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""4"">","The most important thing you need to understand about the role Arm processor architecture plays in any computing or communications market -- smartphones, personal computers, servers, or otherwise -- is this: Arm Holdings, Ltd., which is based in Cambridge, UK, designs the components of processors for others to build.",X,X,,
"<seg id=""5"">","Arm owns these designs, along with the architecture of their instruction sets, such as 64-bit ARM64.",X,X,,
"<seg id=""6"">","Its business model is to license the intellectual property (IP) for these components and the instruction set to other companies, enabling them to build systems around them that incorporate their own designs as well as Arm's.",X,X,,
"<seg id=""7"">","For its customers who build systems around these chips, Arm has done the hard part for them.","lexical ambiguity
lexical ambiguity","arm = limb vs named entity (ARM)
chips = fried potatos vs microchips",,
"<seg id=""8"">","How does Arm, a chip company, conduct business without making chips?",x,x,,
"<seg id=""9"">","Arm Holdings, Ltd. does not manufacture its own chips.",lexical ambiguity,chips = fried potatos vs microchips,,
"<seg id=""10"">",It has no fabrication facilities of its own.,X,X,,
"<seg id=""11"">","Instead, it licenses these rights to other companies, which Arm Holdings calls ""partners.""",X,X,,
"<seg id=""12"">","They utilize Arm's architectural model as a kind of template, building systems that use Arm cores as their central processors.",X,X,,
"<seg id=""13"">","These Arm partners are given the opportunity to design, and possibly manufacture, their systems around these processors, or else outsource their production to others, but in any event sell implementations of these designs in commercial markets.",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""14"">","Many Samsung and Apple smartphones and tablets, and essentially all devices produced by Qualcomm, utilize some Arm intellectual property.",X,X,,
"<seg id=""15"">","A new wave of servers produced with Arm-based systems-on-a-chip (SoC) has already made headway in competing against x86, especially with low-power or special-use models.",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""16"">","Each device incorporating an Arm processor tends to be its own, unique system, like the multi-part Qualcomm Snapdragon 845 mobile processor depicted above.",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""17"">",WHY X86 IS SOLD AND ARM IS LICENSED,lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""18"">",The maker of an Intel- or AMD-based x86 computer does not design nor does it own any portion of the intellectual property for the CPU.,X,X,,
"<seg id=""19"">",It also cannot reproduce x86 IP for its own purposes.,X,X,,
"<seg id=""20"">",Intel Inside is a seal certifying a license for the device manufacturer to build a machine around Intel's processor.,X,X,,
"<seg id=""21"">","An Arm-based device may be designed to incorporate the processor, perhaps even making adaptations to its architecture and functionality.",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""22"">","Since Arm has no interest in marketing itself to end users, you don't typically hear much about ""Arm Inside.""",X,X,,
"<seg id=""23"">","Equally important, however, is the fact that an Arm chip is not necessarily a central processor.","lexical ambiguity
lexical ambiguity","arm = limb vs named entity (ARM)
chips = fried potatos vs microchips",,
"<seg id=""24"">","Depending on the design of its system, it can be the heart of a device controller, a microcontroller (MCU), or some other subordinate component in a system.",lexical ambiguity,design= project vs squeme,,
"<seg id=""25"">",WHAT'S THE RELATIONSHIP BETWEEN ARM AND APPLE?,"lexical ambiguity
lexical ambiguity","arm = limb vs named entity (ARM)
apple = fruit vs named entity (APPLE Mac)",,
"<seg id=""26"">","Apple Silicon is the phrase Apple presently uses to describe its own processor production, beginning in June 2020 with Apple's announcement of the replacement of its x86 Mac processor line.",X,X,,
"<seg id=""27"">","In its place, in Mac laptop units that are reportedly already shipping, will be a new system-on-a-chip called A12Z, code-named ""Bionic,"" produced by Apple using 64-bit component designs licensed to it by Arm Holdings, Ltd.",X,X,,
"<seg id=""28"">","In this case, Arm isn't the designer, but the producer of the instruction set around which Apple makes its original design.",X,X,,
"<seg id=""29"">","In December 2020, Apple chose Taiwan-based TSMC as the fabricator for its A12Z.",X,X,,
"<seg id=""30"">","For MacOS 11 to continue to run software compiled for Intel processors, under an Arm SoC, the new system will run a kind of ""just-in-time"" instruction translator called Rosetta 2.",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""31"">","Rather than run an old MacOS image in a virtual machine, the new OS will run a live x86 machine code translator that re-fashions x86 code into what Apple now calls Universal 2 binary code -- an intermediate-level code that can still be made to run on older Intel-based Macs -- in real-time.",X,X,,
"<seg id=""32"">","That code will run in what sources outside of Apple call an ""emulator,"" but which isn't really an emulator in that it doesn't simulate the execution of code in an actual, physical machine (there is no ""Universal 2"" chip).",X,X,,
"<seg id=""33"">","The first results of independent performance benchmarks comparing an iPad Pro using the A12Z chip planned for the first Arm-based Macs, against Microsoft Surface models, looked promising.",X,X,,
"<seg id=""34"">","Geekbench results as of the time of this writing gave the Bionic-powered tablet a multi-core processing score of 4669 (higher is better), versus 2966 for the Pentium-powered Surface Pro X, and 3033 for the Core i5-powered Surface Pro 6.",X,X,,
"<seg id=""35"">","Apple's newly claimed ability to produce its own SoC for Mac, just as it does for iPhone and iPad, could save the company over time as much as 60 percent on production costs, according to its own estimates.",X,X,,
"<seg id=""36"">","Of course, Apple is typically tight-lipped as to how it arrives at that estimate, and how long such savings will take to be realized.",X,X,,
"<seg id=""37"">","The relationship between Apple and Arm Holdings dates back to 1990, when Apple Computer UK became a founding co-stakeholder in Arm Holdings, Ltd.",X,X,,
"<seg id=""38"">","The other co-partners at that time were the Arm concept's originator, Acorn Computers Ltd. (more about Acorn later) and custom semiconductor maker VLSI Technology (named for the common semiconductor manufacturing process called ""very large-scale integration"").",lexical ambiguity,arm = limb vs named entity (ARM),,
"<seg id=""39"">","Today, Arm Holdings is a wholly-owned subsidiary of SoftBank, which announced its intent to purchase the licensor in July 2016.",X,X,,
"<seg id=""40"">","At the time, the acquisition deal was the largest for a Europe-based technology firm.",X,X,,
</doc>,,,,,
,,,,,
<doc,https://www.usmagazine.com/celebrity-moms/pictures/ryan-reynolds-blake-livelys-sweetest-quotes-about-daughters/ 2021 >,,,,
"<seg id=""1"">",Ryan Reynolds Wants to Show Child 'The Shallows' to Curb 'Baby Shark' Love,"lexical ambiguity
lexical ambiguity","The Shallows = named entitiy
Baby Shark = named entity",,
"<seg id=""2"">",Ryan Reynolds and Blake Lively’s Sweetest Quotes About Their Daughters: ‘That’s Where My Heart Is’,X,X,,
"<seg id=""3"">",Proud parents!,X,X,,
"<seg id=""4"">","Ryan Reynolds and Blake Lively share two daughters, and while the pair mostly keep their little ones out of the public eye, it’s clear their girls mean the world to them.",X,X,,
"<seg id=""5"">","Three years after their 2012 nuptials, the Gossip Girl alum and the Pokémon: Detective Pikachu star welcomed James.",gender,alum = feminine,,
"<seg id=""6"">","“The baby came early but everyone is happy and healthy,” a source told Us Weekly exclusively at the time.","lexical ambiguity
gender","Us Weekly = we vs named entity
the baby = feminine",,
"<seg id=""7"">",“Their Bedford house is all prepared.,X,X,,
"<seg id=""8"">",They’re going to stay up there for the baby’s first days.”,"lexical ambiguity
gender","stay up there = stay in an elevated position vs stay there
the baby = feminine",,
"<seg id=""9"">",Inez arrived in 2016.,X,X,,
"<seg id=""10"">","Before they became parents, the Green Lantern costars spoke often about having kids.",X,X,,
"<seg id=""11"">","We’d love to have a big family,” Reynolds told Details in August 2013.",X,X,,
"<seg id=""12"">","“We both come from big families — my parents did four, Blake’s did five.","ellipsis
lexical ambiguity
lexical ambiguity","did four = children
did four = fabricated 4 vs had 4
did four = fabricated 5 vs had 5",,
"<seg id=""13"">","A lot of people say it’s crazy, but we’ll only know when we’re there, you know?",X,X,,
"<seg id=""14"">","We’ll walk through that fire pretty happily, I think.”",X,X,,
"<seg id=""15"">",His wife echoed this sweet sentiment in Marie Claire‘s September 2014 issue.,X,X,,
"<seg id=""16"">","“I gotta get started,” the actress said at the time.",X,X,,
"<seg id=""17"">","“If I could spit out a litter of kids, I would.”",X,X,,
"<seg id=""18"">",Even Lively’s dad confirmed that she had baby fever!,X,X,,
"<seg id=""19"">","“My youngest daughter is newly married and wants a big family,” the Sisterhood of the Traveling Pants star’s dad, Erin Lively, revealed in a statement released by the University of Utah in October 2013.",X,X,,
"<seg id=""20"">",“She says she wants 30 kids.,X,X,,
"<seg id=""21"">","I said, ‘Why don’t you start with one?'”",X,X,,
"<seg id=""22"">","Now that their family is in full swing, keep scrolling for a look at the sweet things the couple have said about James and Inez.",lexical ambiguity,scrolling = rolling vs reading,,
"<seg id=""23"">",That's Love,X,X,,
"<seg id=""24"">",What a guy!,X,X,,
"<seg id=""25"">","I used to say to [Blake], 'I would take a bullet for you.",X,X,,tomar/leavar uma bala vs tomar/levar um tiro
"<seg id=""26"">","I could never love anything as much as I love you,' the actor told David Letterman in 2015.",X,X,,
"<seg id=""27"">",I would say that to my wife.,X,X,,
"<seg id=""28"">","And the second I looked in that baby's eyes, I knew in that exact moment that if we were ever under attack, I would use my wife as a human shield to protect that baby.","gender, gender","that baby= feminine
that baby= feminine",,
"<seg id=""29"">",Different Daughters,X,X,,
"<seg id=""30"">","“What’s crazy is my 2-year-old wakes up at night,” Lively said on Live With Kelly and Ryan in 2016.",gender,2-year-old = feminine,,
"<seg id=""31"">","“She’s the baby, basically.",X,X,,
"<seg id=""32"">","My little one, she’s just so divine.",X,X,,
"<seg id=""33"">",She came out of the womb a little foodie.”,lexical ambiguity,foodie = food vs gastronome,,
"<seg id=""34"">",New Normal,X,X,,
"<seg id=""35"">",Planning ahead!,X,X,,
"<seg id=""36"">","“Ryan had a nice, normal upbringing, and we want our kids to have the same normal life that we had,” the two-time mom told Marie Claire in 2016.",gender,our kids = feminine,,
"<seg id=""37"">",“We don’t ever want to rob them of what we had because then we’d feel really selfish.””,gender,them = feminine,,
"<seg id=""38"">",Uh Oh,X,X,,
"<seg id=""39"">","“My kid like playing with explosive devices,” the actress revealed on Late Night With Seth Meyers in 2016.",gender,my kid = feminine,,
"<seg id=""40"">",“I don’t know where she found them.,X,X,,
"<seg id=""41"">",She already knows how to drywall because she puts holes in the wall.”,lexical ambiguity,drywall = to dry the wall vs to install drywall panels,,
"<seg id=""42"">",Devoted,gender,devoted = feminine,,
"<seg id=""43"">",Lively opened up about her love for her children to Marie Claire in 2016.,gender,children = feminine,,
"<seg id=""44"">","“All my eggs are in one basket, and that’s my family,” she said at the time.",X,X,,
"<seg id=""45"">",“That’s where my heart is. That’s where my everything is.,X,X,,
"<seg id=""46"">",That’s the thing that I feel most protective of and the thing that I feel is the most exposed when I feel exploited.”,"gender
gender
gender","protective = feminine
exposed = feminine
exploited = feminine",,
"<seg id=""47"">",No Kidding,X,X,,
"<seg id=""48"">","“I would rather drink a piping hot bowl of liquid rabies than get on a plane with my two children,” Reynolds admitted on Good Morning America in 2017.",gender,my two children= feminine,,
"<seg id=""49"">","“At 2 years old they just have to rip all their clothes off and introduce themselves to everyone on the plane, it’s just like, ‘Please can we land in a farmer’s field?’”",gender,they = feminine,,
"<seg id=""50"">",Namesake,X,X,,homônimo ou xará
"<seg id=""51"">","In 2018, the actor explained why he named one of his daughters James, after his father.",X,X,,
"<seg id=""52"">","“It felt right,” he told Marie Claire.",X,X,,
"<seg id=""53"">","“At the end of the day, it’s easier to focus on the good stuff than the bad.",X,X,,
"<seg id=""54"">","My father died soon after my daughter was born, but he got to see her, which makes me happy.”",X,X,,
"<seg id=""55"">",Helicopter Dad,X,X,,
"<seg id=""56"">","“When they decide to go away to college, I’m going to be that guy, ‘That’s so funny, I’m going to NYU, too!’” Reynolds told Extra in 2019.",gender,they = feminine,,
"<seg id=""57"">",“I’m going to be so needy.,X,X,,
"<seg id=""58"">",I love being around them — it’s the best thing in the world.”,gender,them = feminine,,
"<seg id=""59"">",Big Fans,X,X,,
"<seg id=""60"">","“My daughter James is losing her mind over it,” Reynolds said of his Pokemon: Detective Pikachu movie in a May 2019 Good Morning America appearance.",X,X,,
"<seg id=""61"">",“She’s never been interested in a movie I’ve done ever.,X,X,,
"<seg id=""62"">",I’m curious how [my daughter Inez] is going to react to it.”,X,X,,
"<seg id=""63"">","The actor added: ""They do know Deadpool.",gender,they = feminine,,
"<seg id=""64"">","They sometimes say it, and it's sort of embarrassing.",gender,they = feminine,,
"<seg id=""65"">","I'll be in a grocery store and they'll be like, 'My daddy's Deadpool.'",gender,they = feminine,,"elas vão ser como vs elas dizem, tipo,"
"<seg id=""66"">","And I'll be like, 'I did not tell her to say that.'""",x,x,,"eu vou ser como vs eu digo, tipo"
"<seg id=""67"">",Jokester,X,X,,piadista
"<seg id=""68"">","Bags under my eyes by two thankless a--holes who refused to go to bed the night before, despite the fact I read them Winnie the Pooh and nearly half of Stephen King’s The Shining, the actor joked in September 2019.","gender
gender","two thnakless = feminine
a-hole = feminine",,
"<seg id=""69"">",Honesty Hour,X,X,,
"<seg id=""70"">","I understand how overwhelming it is to be a new parent,” Lively said of her Amazon baby registry in October 2019.",gender,parent = feminine,,
"<seg id=""71"">","
“What they don’t tell you is it never gets less overwhelming, but with each kid, I do learn more.",X,X,,
"<seg id=""72"">",High Hopes,X,X,,
"<seg id=""73"">","“I love B.C.,” Reynolds tweeted in October 2019 following the birth of his and Lively’s third child.",gender,child = feminine,,
"<seg id=""74"">",“I want my daughters to experience the same natural playground I grew up in.”,X,X,,
"<seg id=""75"">",Following His Footsteps,X,X,,
"<seg id=""76"">","Although James loves ""singing songs, doing plays at home [and performing in movies],"" Reynolds is warning her against child acting, he revealed during a December 2019 appearance on The Tonight Show Starring Jimmy Fallon.",X,X,,
"<seg id=""77"">","Showbiz is not good for kids, the 6 Underground star explained.",X,X,,são como vs ficam tipo
"<seg id=""78"">","I feel like we should know this by now, right?",X,X,,
"<seg id=""79"">","But parents everywhere are like, ‘Yeah, let's just put them in a movie, unsupervised.'",X,X,,
"<seg id=""80"">",Groupie,gender,groupie = feminine,,
"<seg id=""81"">",“She’s obsessed.,X,X,,
"<seg id=""82"">","Jimmy Fallon is Shawn Mendes to my daughter, like, legitimately,"" the Canadian star added.",X,X,,
"<seg id=""83"">",She loses her mind.”,X,X,,
"<seg id=""84"">",Happy at Home,X,X,,
"<seg id=""85"">","“They are doing great,” Reynolds told Extra in December 2019 when asked about his wife and their third child.","gender
gender","they = feminine
third child = feminine",,criança
"<seg id=""86"">",No Name,X,X,,
"<seg id=""87"">","The Golden Globe nominee went on to joke that he and Lively have not chosen a moniker for their third child to give her something to push against in life.""",gender,third child= feminine,,
"<seg id=""88"">","Reynolds teased, ""All of the letters in her name are silent.""",X,X,,
"<seg id=""89"">",Dad Guilt,X,X,,culpa do pai vs pai culpado
"<seg id=""90"">","Leaving the house is getting harder and harder,” Reynolds admitted during a December 2019 Today show appearance.",X,X,,
"<seg id=""91"">","“It gets a lot harder when they ask, ‘Where are you going?",gender,they = feminine,,
"<seg id=""92"">",When are you coming home?,X,X,,
"<seg id=""93"">",Why are you leaving me?’”,X,X,,
"<seg id=""94"">",Looking Back,X,X,,
"<seg id=""95"">","“Dear abs, I miss you,” the actress captioned a throwback Instagram Story photo in January 2020, three months after giving birth to her third daughter.",X,X,,
"<seg id=""96"">",Cute Chaos,X,X,,
"<seg id=""97"">","It's like going from two to 3,000,"" Lively said on Good Morning America in January 2020 of raising three kids.",X,X,,pasar de dois pra 3 mil vs ir de 2 para 3 mil
"<seg id=""98"">","I mean, we have so many children.",gender,children = feminine,,
"<seg id=""99"">",It's pretty crazy.,reference,it = to have many children,,
"<seg id=""100"">",It's a lot.,reference,it = to have many children,,
"<seg id=""101"">",Tough Time,X,X,erased 'she' for gender issue,
"<seg id=""102"">","Our oldest is loving on [our newborn] and is very maternal, and our middle daughter just keeps away from her, Lively revealed during a January 2020 appearance on The Tonight Show Starring Jimmy Fallon.","ellipsis
gender
gender","our oldest = our oldest daughter
our oldest = feminine
maternal = femine",,
"<seg id=""103"">","I said to her, ‘You’re going to teach her everything she knows.",X,X,,
"<seg id=""104"">",You get to teach her about cities and the sky and flowers and Santa Claus.,X,X,,
"<seg id=""105"">",Anything you want.’,X,X,,
"<seg id=""106"">","And she goes, ‘Oh, I didn’t love you, but now I do.'",X,X,,
"<seg id=""107"">",Fan Girl,X,X,,
"<seg id=""108"">","The actress went on to say, ""We’ve got to stay away from you, Jimmy.",X,X,,
"<seg id=""109"">",[James] is so intimidated by you.,gender,intimidated = feminine,,
"<seg id=""110"">","She’s like buddies with Taylor Swift, no problem.",x,x,,
"<seg id=""111"">","Jimmy Fallon, can’t speak.",ellipsis,can't speak = James can't speak with jimmy Fallon,,
"<seg id=""112"">",You're Beyoncé for her.,X,X,,
"<seg id=""113"">","She’s very, very intimidated.""",X,X,,
"<seg id=""114"">",Yawn,X,X,,
"<seg id=""115"">","“Dead inside,” Lively wrote on her Instagram Story after a January 2020 Live With Kelly and Ryan appearance.",x,x,,
"<seg id=""116"">",“3 Kids = Me. So. Sleepy.”,X,X,,
"<seg id=""117"">",Tons of Teasing,X,X,,
"<seg id=""118"">","After I gave birth, he was like, 'Oh, my gosh, if I lost you and I went to the park with our three kids, think of the ladies I can pick up,'",gender,kids= feminine,,
"<seg id=""119"">",Lively said of her husband during a January 2020 Live With Kelly and Ryan appearance.,X,X,,
"<seg id=""120"">",Mom Goals,X,X,,
"<seg id=""123"">","That same month, she told E! News, ""The only reason I have kids is so I can eat Rice Krispies Treats for every meal of the day and be really proud of it.""",X,X,,
"<seg id=""121"">",Fit Mamma,lexical ambiguity,fit = good vs in shape,,
"<seg id=""122"">","Lively revealed in January 2020 that while filming The Rhythm Section in Europe, she balanced her girls and workouts by combining the two.",X,X,,
"<seg id=""124"">","I woke up at 5 a.m., but mostly because I was doing momma duty with my girls, she told Vanity Fair in a video interview breaking down a day in her life on set.",x,x,,
"<seg id=""125"">",I would actually wake up and work out with my girls.,X,X,,
"<seg id=""126"">",So I would sort of use them as weights.,gender,they= feminine,,
"<seg id=""127"">","Instead of wearing a weight vest, I got to wear my children.",gender,children = feminine,,
"<seg id=""128"">",Picky Parent,gender,parent = feminine,,
"<seg id=""129"">","“I guess I really have to really, really, really, really love it because I’m just obsessed with my kids,” Lively told E! News in February 2020 of choosing film projects.",gender,kids= feminine,,
"<seg id=""130"">",“It’s gotta really be worth it to take me away.”,X,X,,
"<seg id=""131"">",Quarantine Cuties,x,x,,
"<seg id=""132"">","We're doing a lot of home-schooling,” Reynolds said of social distancing with his kids during an April 2020 virtual appearance on A Late Show With Stephen Colbert at Home.",gender,kids= feminine,,
"<seg id=""133"">","“We're lucky enough to have a little, tiny garden, so we're learning a little bit about gardening.",X,X,,
"<seg id=""134"">","We’re trying to make this an educational experience, but I’m mostly drinking.”",X,X,,
"<seg id=""135"">","The actor went on to joke that he wouldn't hesitate"" to eat his three daughters.",X,X,,
"<seg id=""136"">",Proud Papa,X,X,,
"<seg id=""137"">","“With three kids in the house, I need [my Aviation Gin] more than ever,” Reynolds joked in a June 2020 ad about how “proud” he is of his alcohol brand.",gender,kids= feminine,,
"<seg id=""138"">",Another One,"reference
gender","one=pregnancy
another one = feminine",,
"<seg id=""139"">","When Lively joked that she ""got ... pregnant"" from watching one of Reynolds' Instagram videos in July 2020, he replied, ""@blakelively I will be out of the office starting July 22nd throughout the middle or forever and ever.",x,x,,
"<seg id=""140"">","If you need immediate assistance during my absence, please contact someone.",X,X,,
"<seg id=""141"">",Anyone.,lexical ambiguity,anyone = someone vs any other person,,
"<seg id=""142"">",Otherwise I will respond to your message as soon as possible upon my unlikely return.,X,X,,
"<seg id=""143"">",Thank you.”,X,X,,
"<seg id=""144"">",Next Generation,X,X,,
"<seg id=""145"">","“We’ve been teaching our children differently than the way our parents taught us,” the actress wrote in a May Instagram slideshow.",gender,kids= feminine,,
"<seg id=""146"">","“We want to educate ourselves about other people’s experiences and talk to our kids about everything, all of it.",gender,kids= feminine,,
"<seg id=""147"">",Especially our own complicity.,X,X,,
"<seg id=""148"">","We’re committed to raising our kids so they never grow up feeding this insane pattern and they’ll do their best to never inflict pain on another being consciously or unconsciously.""","gender
gender","kids= feminine
they = feminine",,
"<seg id=""149"">",Custom Coverings,X,X,,
"<seg id=""150"">","We won’t embarrass them at all in middle school, Lively captioned an August 2020 Instagram Story photo of herself and Reynolds rocking homemade face masks designed by their daughters.",x,x,,
"<seg id=""151"">",Life Lessons,X,X,,
"<seg id=""152"">",Lively opened up about wanting to “teach and grow” her children while celebrating Indigenous People’s Day in October 2020.,gender,children = feminine,,
"<seg id=""153"">","It’s never too late to learn ourselves,” the actress captioned her Instagram Story.",X,X,,
"<seg id=""154"">",Darling Daughters,X,X,,
"<seg id=""155"">","Reynolds told Access in November 2020 that he loves being “a girl dad,” gushing, “I have three daughters, which I never in a million years would imagine.",X,X,,
"<seg id=""156"">",I come from all boys.,ellipsis,I come from = from a family of all boys,,
"<seg id=""157"">",I have three older brothers.,X,X,,
"<seg id=""158"">","So for me, to have three daughters has been such a ride and I love every second of it.”",X,X,,
"<seg id=""159"">",Staying Socially Distant,X,X,,
"<seg id=""160"">",My kids won’t see their grandparents this year for Christmas.,gender,kids= feminine,,
"<seg id=""161"">",Or friends or aunts and uncles.,X,X,,
"<seg id=""162"">","It sucks,” Reynolds wrote via Instagram in December 2020 amid the coronavirus pandemic.",X,X,,
"<seg id=""163"">",“My hat’s off to so many others doing the same.”,x,x,,
"<seg id=""164"">",Body Positive,X,X,,
"<seg id=""165"">",Lively wrote via Instagram in January 2021 that she felt “silly” for being “insecure” about not fitting into sample sizes after giving birth to baby No. 3.,x,x,,
"<seg id=""166"">","""I wish I felt as confident then as I do now, a year later looking back,” she captioned a throwback photo from an appearance on The Tonight Show Starring Jimmy Fallon.",gender,confident = feminine,,
"<seg id=""167"">",That body gave me a baby.,X,X,,
"<seg id=""168"">",And was producing that baby’s entire food supply.,X,X,,
"<seg id=""169"">",What a beautiful miracle.,X,X,,
"<seg id=""170"">",Football Fan,X,X,,
"<seg id=""171"">",I'm gonna watch the [Super Bowl].,X,X,,
"<seg id=""172"">","I have three daughters, so Blake and myself and the kids will sit down and watch the game for about four, four and a half seconds, before it's switched over to Paw Patrol,” Reynolds joked during a February 2021 Good Morning America appearance.",X,X,,
"<seg id=""173"">",And then I'll be watching the game from my phone.,X,X,,
"<seg id=""174"">","Or, I may just wander outside and stare at the sun directly.",X,X,,
"<seg id=""175"">",I don't know.,X,X,,
"<seg id=""176"">",Anything can happen Super Bowl Sunday.,X,X,,
"<seg id=""177"">","We'll see what the weather brings.""",X,X,,
"<seg id=""178"">",Scared Straight,X,X,,
"<seg id=""179"">",My 1-year-old daughter is obsessed with 'Baby Shark.’,lexical ambiguity,named entities,,
"<seg id=""180"">",All day.,X,X,,
"<seg id=""181"">",Every day.,X,X,,
"<seg id=""182"">","And there’s only one way to fix this,” Reynolds tweeted in April 2021, sharing a promo pic from his wife’s 2016 movie, The Shallows.",lexical ambiguity,The Shallows =named entity,,
</doc>,,,,,
,,,,,
<doc,https://www.machinedesign.com/archive/article/21816787/giant-fans-of-wind-energy >,,,,
"<seg id=""1"">",Giant fans of wind energy,lexical ambiguity,fans = ventilador vs admirer,,fãs de energia eólica
"<seg id=""2"">",Windmills aren't what they used to be but then neither is the search for renewable energy sources.,X,X,,
"<seg id=""3"">",Patricia Mahoney,X,X,"Subsititution= Patrcik >> Patricia 
to add the issue of gender for 'editor'",
"<seg id=""4"">",Associate Editor,gender,associate editor = feminine,,
"<seg id=""5"">","In an effort to develop renewable energy sources, engineers are looking for ways to build a better mousetrap.",lexical ambiguity,mousetrap = a trap for mice vs a trap,,uma ratoeira vs uma armadilha
"<seg id=""6"">","Or, in this case, windmill.",X,X,,
"<seg id=""7"">","As manufacturers continue to lower the cost of wind turbines and components, wind energy may soon compete cost-wise with conventional energy sources.",X,X,,
"<seg id=""8"">","Thanks largely to virtual prototyping and physical prototype testing, engineers are moving closer to that goal.",X,X,,
"<seg id=""9"">",But there's a problem when it comes to simulating wind turbines.,X,X,,
"<seg id=""10"">",Complex aerodynamic effects and large deflections are at work.,lexical ambiguity,at work = being present at work vs in action,,
"<seg id=""11"">",And the electrical systems are sophisticated and difficult to model.,X,X,,
"<seg id=""12"">",Physical prototype testing is no walk in the park either.,X,X,,
"<seg id=""13"">","The source of the power for field tests is, of course, the wind, which can't be controlled.",X,X,,
"<seg id=""14"">","Also, modern wind turbines are huge, which means facilities for full-scale testing must be supersized, too.",X,X,,
"<seg id=""15"">","To overcome these obstacles, other countries have developed strategies that could serve as blueprints to help the U.S.",X,X,,
"<seg id=""16"">","Spain, for example, is a global leader in installed capacity and wind-turbine manufacturing.",X,X,,
"<seg id=""17"">",The Spanish Centre for Renewable Energy (Cener) is currently building an innovative test center dedicated to developing wind energy.,X,X,,
"<seg id=""18"">",The publicly funded facility will have testing laboratories and an experimental wind farm.,X,X,,
"<seg id=""19"">",A blade-testing facility will house two rigs to conduct extreme and fatigue-load tests as well as physical-properties testing.,X,X,,
"<seg id=""20"">",It will handle turbine blades up to 75-m long.,reference,it = a blade-testing facility,,
"<seg id=""21"">","One rig, able to withstand bending moments up to 100.000 kNm, could test blades as long as 90 m, after a portion of the blade is removed.",X,X,,
"<seg id=""22"">","The Spanish lab will develop processes and materials to reduce costs or improve performance, mainly in the area of composites.",X,X,,
